Entry	Status	Protein names	Gene names
A0A3G1PSC8	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
A0A3G1PSE0	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
D3G8G5	unreviewed	Cytochrome b (Fragment)	cytb
A0A3G1PSF0	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
A0A2D0W5A9	unreviewed	Cytochrome b (Fragment)	cytb
D3G8G6	unreviewed	Cytochrome b (Fragment)	cytb
U5QPD8	unreviewed	NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2)	nad5
U5QPN5	unreviewed	ATP synthase F0 subunit 8	atp8
A0A2D0W588	unreviewed	Cytochrome b (Fragment)	cytb
U5QT45	unreviewed	Cytochrome b	cob
A0A3G1PSB2	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
U5QPE3	unreviewed	ATP synthase subunit a	atp6
B6DC71	unreviewed	PaxC (Fragment)	PaxC
A0A2D0W565	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
U5QPI1	unreviewed	NADH dehydrogenase subunit 4L (NADH-ubiquinone oxidoreductase chain 4L)	nad4L
A0A3G1PSD4	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
A0A2D0W5C8	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
S4VK67	unreviewed	ATP synthase subunit a (Fragment)	
A0A2D0W598	unreviewed	Cytochrome b (Fragment)	cytb
U5QPJ5	unreviewed	NADH-ubiquinone oxidoreductase chain 3 (EC 7.1.1.2)	nad3
U5QPU3	unreviewed	NADH-ubiquinone oxidoreductase chain 4 (EC 7.1.1.2)	nad4
A0A2D0W5C0	unreviewed	Cytochrome b (Fragment)	cytb
A0A2D0W590	unreviewed	Cytochrome b (Fragment)	cytb
U5QPE9	unreviewed	Cytochrome c oxidase subunit 3	cox3
U5QP57	unreviewed	NADH-ubiquinone oxidoreductase chain 1 (EC 7.1.1.2)	nad1
A0A2D0W572	unreviewed	Cytochrome b (Fragment)	cytb
A0A2D0W5H6	unreviewed	Cytochrome b (Fragment)	cytb
A0A2D0W585	unreviewed	Cytochrome b (Fragment)	cytb
U5QP64	unreviewed	NADH-ubiquinone oxidoreductase chain 4 (EC 7.1.1.2)	nad4
U5QPE5	unreviewed	Cytochrome b	cob
U5QSY8	unreviewed	Cytochrome c oxidase subunit 2	cox2
U5QST3	unreviewed	NADH-ubiquinone oxidoreductase chain 6 (EC 7.1.1.2)	nad6
U5QPB4	unreviewed	NADH-ubiquinone oxidoreductase chain 3 (EC 7.1.1.2)	nad3
U5QPP0	unreviewed	NADH:ubiquinone reductase (H(+)-translocating) (EC 7.1.1.2)	nad2
A0A3G1PSB7	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
Q9XLE8	unreviewed	Cytochrome b (Fragment)	cytb
A0A059UBP9	unreviewed	Complex III subunit 3 (Complex III subunit III) (Cytochrome b) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit) (Fragment)	
D3G8G9	unreviewed	Cytochrome b (Fragment)	cytb
Q9NBX2	unreviewed	PaxC homeodomain protein (Fragment)	
A0A2D0W538	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
U5QPJ1	unreviewed	NADH-ubiquinone oxidoreductase chain 4 (EC 7.1.1.2)	nad4
A0A3G1PSD6	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
U5QPF1	unreviewed	Cytochrome b	cob
Q6SS51	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
A0A2P1M5N7	unreviewed	Cytochrome b (Fragment)	CYTB
V5NR99	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
Q9TDV0	unreviewed	ATP synthase subunit a (Fragment)	ATP6
D2E428	unreviewed	Cytochrome oxidase subunit III (Fragment)	
A0A089NAJ7	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COX1
A0A089NEH4	unreviewed	PaxC (Fragment)	PaxC
A0A3G1PSA9	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
Q2EZ87	unreviewed	NADH:ubiquinone reductase (H(+)-translocating) (EC 7.1.1.2) (Fragment)	
A0A0U3P9W5	unreviewed	Cytochrome b	CYTB
A0A0U2VZ84	unreviewed	NADH dehydrogenase subunit 4L (NADH-ubiquinone oxidoreductase chain 4L)	ND4L
U5QPG1	unreviewed	NADH-ubiquinone oxidoreductase chain 6 (EC 7.1.1.2)	nad6
A0A345AIN6	unreviewed	Na+/Ca2+ exchanger isoform B variant 3	NCXB3
U5QT20	unreviewed	Cytochrome b	cob
U5QT73	unreviewed	NADH-ubiquinone oxidoreductase chain 1 (EC 7.1.1.2)	nad1
Q2EZ85	unreviewed	NADH-ubiquinone oxidoreductase chain 1 (EC 7.1.1.2) (Fragment)	
A0A2D0W570	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
Q2EZ84	unreviewed	NADH-ubiquinone oxidoreductase chain 1 (EC 7.1.1.2) (Fragment)	
A0A385FB92	unreviewed	Soluble adenylyl cyclase (Fragment)	
A0A2P1M5M8	unreviewed	Cytochrome b (Fragment)	CYTB
U5QPG3	unreviewed	NADH dehydrogenase subunit 4L (NADH-ubiquinone oxidoreductase chain 4L)	nad4L
U5QPQ5	unreviewed	ATP synthase subunit a	atp6
Q2EZ88	unreviewed	NADH-ubiquinone oxidoreductase chain 3 (EC 7.1.1.2) (Fragment)	
U5QT25	unreviewed	Cytochrome c oxidase subunit 3	cox3
A0A089ND64	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COX1
U5QPR0	unreviewed	NADH-ubiquinone oxidoreductase chain 3 (EC 7.1.1.2)	nad3
A0A5B7M0C4	unreviewed	Rhesus protein	
U5QT80	unreviewed	ATP synthase F0 subunit 8	atp8
A0A3B1EVN5	unreviewed	Soluble adenylyl cyclase (Fragment)	
A0A3B1EVN6	unreviewed	Soluble adenylyl cyclase	
U5QPK4	unreviewed	Cytochrome c oxidase subunit 2	cox2
A0A345AIN7	unreviewed	Na+/Ca2+ exchanger isoform B variant 4	NCXB4
A0A3B1EVN4	unreviewed	Soluble adenylyl cyclase (Fragment)	
Q2EZ86	unreviewed	NADH-ubiquinone oxidoreductase chain 3 (EC 7.1.1.2) (Fragment)	
U5QPK0	unreviewed	NADH:ubiquinone reductase (H(+)-translocating) (EC 7.1.1.2)	nad2
A0A0U3NYE8	unreviewed	NADH-ubiquinone oxidoreductase chain 1 (EC 7.1.1.2)	ND1
B6DCC3	unreviewed	PaxC (Fragment)	PaxC
A0A345AIN5	unreviewed	Na+/Ca2+ exchanger isoform B variant 2	NCXB2
A0A345AIN3	unreviewed	Na+/Ca2+ exchanger isoform A	NCXA
U5QPQ0	unreviewed	NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2)	nad5
A0A348AT16	unreviewed	Fluorescent protein (Fragment)	M LWE
A0A5C1X6W0	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
A0A348ATC3	unreviewed	Fluorescent protein (Fragment)	S MWE
A0A4P9Q2E6	unreviewed	Histone H3 (Fragment)	H3
D3G8H3	unreviewed	Cytochrome b (Fragment)	cytb
A0A2P1M5N9	unreviewed	Cytochrome b (Fragment)	CYTB
A0A6H0DY68	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COX1
B6DC22	unreviewed	PaxC (Fragment)	PaxC
A0A1S7IWU8	unreviewed	Fluorescent protein	MWE
A0A1S7IWI5	unreviewed	Fluorescent protein	CP
A0A2D0W5D6	unreviewed	Cytochrome b (Fragment)	cytb
A0A348ATD4	unreviewed	Fluorescent protein (Fragment)	S MWE
A0A348AT66	unreviewed	Fluorescent protein (Fragment)	S MWE
A0A348ASV6	unreviewed	Fluorescent protein (Fragment)	CP
A0A2P1M5P4	unreviewed	Cytochrome b (Fragment)	CYTB
A0A290QKI4	unreviewed	NADH-ubiquinone oxidoreductase chain 1 (EC 7.1.1.2)	nad1
A0A348ATD8	unreviewed	Fluorescent protein (Fragment)	S MWE
A0A4P9Q263	unreviewed	Histone H3 (Fragment)	H3
A0A348ATD9	unreviewed	Fluorescent protein (Fragment)	S MWE
A0A2D0W581	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
A0A0M4KXT1	unreviewed	Transcription factor PaxC (Fragment)	PaxC
A0A2D0W542	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
A0A2P1M5N3	unreviewed	Cytochrome b (Fragment)	CYTB
A0A290QQ71	unreviewed	ATP synthase F0 subunit 8	atp8
A0A348AT03	unreviewed	Fluorescent protein (Fragment)	M LWE
A0A3G1PSF1	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
H2FGB3	unreviewed	Beta-actin (Fragment)	
B6CTZ3	unreviewed	Green fluorescent GFP-like protein (Fragment)	
Q8M196	unreviewed	Cytochrome oxidase subunit III (Fragment)	
B6DCE4	unreviewed	PaxC (Fragment)	PaxC
A0A2D0W578	unreviewed	Cytochrome b (Fragment)	cytb
A0A290QL71	unreviewed	NADH-ubiquinone oxidoreductase chain 1 (EC 7.1.1.2)	nad1
A0A0U3N2Y1	unreviewed	NADH-ubiquinone oxidoreductase chain 3 (EC 7.1.1.2)	ND3
A0A3G1PSD5	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
A0A2D0W568	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
A0A0U3PDJ0	unreviewed	ATP synthase F0 subunit 8	ATP8
Q66PV6	unreviewed	Cyan fluorescent protein	
A0A0U3NWJ6	unreviewed	ATP synthase subunit a	ATP6
A0A0U3PZ70	unreviewed	Cytochrome c oxidase subunit 2	COX2
Q66PV9	unreviewed	Green fluorescent protein	
A0A2D0W5B7	unreviewed	Cytochrome b (Fragment)	cytb
A0A059U7J2	unreviewed	Complex III subunit 3 (Complex III subunit III) (Cytochrome b) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit) (Fragment)	
B6DCE1	unreviewed	PaxC (Fragment)	PaxC
V5NQP7	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
Q8M197	unreviewed	Cytochrome oxidase subunit III (Fragment)	
V5NRQ9	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
A0A2P1M5P3	unreviewed	Cytochrome b (Fragment)	CYTB
B6DCE3	unreviewed	PaxC (Fragment)	PaxC
Q8M198	unreviewed	Cytochrome oxidase subunit III (Fragment)	
Q9NBX1	unreviewed	PaxC homeodomain protein (Fragment)	
A0A2D0W5B6	unreviewed	Cytochrome b (Fragment)	cytb
Q8M1A1	unreviewed	Cytochrome oxidase subunit III (Fragment)	
B6DCE2	unreviewed	PaxC (Fragment)	PaxC
Q8M1A0	unreviewed	Cytochrome oxidase subunit III (Fragment)	
A0A089NEW0	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COX1
A0A2D0W5A6	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
A0A059UCA2	unreviewed	BMP2/4 (Fragment)	
A0A059U855	unreviewed	BMP2/4 (Fragment)	
A0A290QVF3	unreviewed	Cytochrome b	cytb
B6SCR5	unreviewed	BMP2/4 (Fragment)	
A0A290QL69	unreviewed	NADH-ubiquinone oxidoreductase chain 6 (EC 7.1.1.2)	nad6
Q66PU8	unreviewed	Chromoprotein	
A0A2P1M5N8	unreviewed	Cytochrome b (Fragment)	CYTB
A0A0U3P1D2	unreviewed	NADH-ubiquinone oxidoreductase chain 6 (EC 7.1.1.2)	ND6
A0A0U3E246	unreviewed	NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2)	ND5
A0A0U3PND1	unreviewed	NADH:ubiquinone reductase (H(+)-translocating) (EC 7.1.1.2)	ND2
A0A290QND8	unreviewed	ATP synthase F0 subunit 8	atp8
A0A2D0W5F5	unreviewed	Cytochrome b (Fragment)	cytb
Q9XLE6	unreviewed	Cytochrome b (Fragment)	cytb
A0A5C1X4C4	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
A0A2D0W527	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
B6DC11	unreviewed	PaxC (Fragment)	PaxC
S4VNI3	unreviewed	ATP synthase subunit a (Fragment)	ATP-6
A0A2P1M5M7	unreviewed	Cytochrome b (Fragment)	CYTB
D2E429	unreviewed	Cytochrome oxidase subunit III (Fragment)	
A0A0U3MYL5	unreviewed	Cytochrome c oxidase subunit 3	COX3
U5QT75	unreviewed	NADH-ubiquinone oxidoreductase chain 4 (EC 7.1.1.2)	nad4
A0A345AIN4	unreviewed	Na+/Ca2+ exchanger isoform B variant 1	NCXB1
A0A0U3MNA1	unreviewed	NADH-ubiquinone oxidoreductase chain 4 (EC 7.1.1.2)	ND4
A0A2D0W5B4	unreviewed	Cytochrome b (Fragment)	cytb
A3F9F8	unreviewed	Histone H2B (Fragment)	
U5QP82	unreviewed	NADH-ubiquinone oxidoreductase chain 1 (EC 7.1.1.2)	nad1
L0AS47	unreviewed	Alpha i G protein	
U5QP92	unreviewed	ATP synthase F0 subunit 8	atp8
I6UAP8	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
B7T144	unreviewed	Uncharacterized protein	
A0T3F5	unreviewed	Apextrin	
A0MV35	unreviewed	Ventral nervous system defective 3	vnd3
B5T1L2	unreviewed	Cyan fluorescent protein FP484	
Q9NGS7	unreviewed	Transcription factor PaxB	PaxB
G8HT97	unreviewed	Uncharacterized protein	
B4ZYT2	unreviewed	SoxF	
Q1W381	unreviewed	POU domain protein (Fragment)	
G8HT99	unreviewed	Uncharacterized protein	
Q66PV2	unreviewed	Red fluorescent protein	
I3QDC6	unreviewed	Thioredoxin reductase	TR
D0U6N4	unreviewed	Calmodulin-like protein (Fragment)	
J9QL63	unreviewed	Peptidylglycine alpha-amidating monooxygenase 1	PAM-1
Q66PV0	unreviewed	Chromoprotein	
D7NNB3	unreviewed	Uncharacterized protein	
C7ENG9	unreviewed	Transposase	
B7T139	unreviewed	SUEL-type lectin domain-containing protein	
A0A3G1PSD1	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
G8HTB7	unreviewed	Uncharacterized protein	
G8HTB1	unreviewed	Uncharacterized protein	
B4ZYS7	unreviewed	SoxB1	
B7T137	unreviewed	Uncharacterized protein	
Q09K97	unreviewed	Tm7-1-6 G-protein coupled receptor	
O61609	unreviewed	Transcription factor Pax-A	PaxA
B0EVY5	unreviewed	Cryptochrome CRY2 (Fragment)	cry2
B2XW55	unreviewed	Integrin alpha 1	
Q66PV8	unreviewed	Green fluorescent protein	
C7ENG7	unreviewed	Transposase	
D9IQ17	unreviewed	Galaxin-like 1	
I3QDC4	unreviewed	Methanethiol oxidase (EC 1.8.3.4)	SeBP17
G8HT94	unreviewed	Uncharacterized protein	
A0MV38	unreviewed	Orthodenticle B	otxB
G8HTA1	unreviewed	Hypotehtical protein LWamide	
B4ZYT1	unreviewed	SoxE1	
J9QK52	unreviewed	Peptidylglycine alpha-amidating monooxygenase 2	PAM-2
B3V955	unreviewed	Mannose-binding lectin (Fragment)	
G8HTA0	unreviewed	Uncharacterized protein	
C7ENG8	unreviewed	Transposase	
D7NNB2	unreviewed	Uncharacterized protein	
A0MV34	unreviewed	Ventral nervous system defective 2	vnd2
B7T143	unreviewed	Carbonic anhydrase (EC 4.2.1.1)	
G8HTA2	unreviewed	VWFA domain-containing protein	
A0A0X9PYG6	unreviewed	Caspase-X	
B4ZYS9	unreviewed	SoxBb	
Q95WF6	unreviewed	Nuclear receptor AmNR8 (Fragment)	
B5LIN0	unreviewed	Green fluorescent-like protein (Fragment)	
Q6JBR3	unreviewed	Zinc finger transcription factor	snail
B2XW56	unreviewed	Integrin beta	
Q8MUA2	unreviewed	DM domain protein	DM1
A0A089N9C9	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COX1
D7NNA9	unreviewed	Uncharacterized protein	
B3V948	unreviewed	Mannose-binding lectin (Fragment)	
D7NNB0	unreviewed	SSD domain-containing protein	
B5T1L4	unreviewed	Green fluorescent protein FP512	
B3V957	unreviewed	Mannose-binding lectin (Fragment)	
A0A346QUN0	unreviewed	Factor inhibiting HIF	
B5LIN1	unreviewed	Red fluorescent-like protein (Fragment)	
Q95WF4	unreviewed	Nuclear receptor AmNR10 (Fragment)	
Q95WF7	unreviewed	Nuclear receptor AmNR7	
V5NR74	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
Q8MUZ4	unreviewed	Mini-collagen (Fragment)	
A0T396	unreviewed	TIR1	TIR1
C7ENH0	unreviewed	Transposase	
A0A3F2YLZ0	unreviewed	Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	
G8HTA4	unreviewed	Uncharacterized protein	
Q95WF5	unreviewed	Nuclear receptor AmNR9 (Fragment)	
B3V958	unreviewed	Mannose-binding lectin (Fragment)	
A8CLY3	unreviewed	Green fluorescent GFP-like protein	
Q8MXC2	unreviewed	Decapentaplegic	dpp
Q8MUA1	unreviewed	DM domain protein splice variant	DM1
D7NNB4	unreviewed	Uncharacterized protein	
G8HT96	unreviewed	Uncharacterized protein	
G8HTA3	unreviewed	Ferritin (EC 1.16.3.1)	
Q09K99	unreviewed	C007-H6 G-protein coupled receptor	
A0A7D5HTA8	unreviewed	Acropsin 1	OP1
A0A088DLZ5	unreviewed	Brachyury protein	Bra
I3QDC5	unreviewed	Methanethiol oxidase (EC 1.8.3.4)	SeBP23
B7T146	unreviewed	Uncharacterized protein	
D3G8G3	unreviewed	Cytochrome b (Fragment)	cytb
Q66PV5	unreviewed	Cyan fluorescent protein	
Q93116	unreviewed	60S ribosomal protein L40 (CEP52) (Ubiquitin) (Ubiquitin-60S ribosomal protein L40)	
A0A0B5KPL7	unreviewed	Caspase 8 (EC 3.4.22.61)	
Q95WG0	unreviewed	Nuclear receptor AmNR4 isoform B	
B7T136	unreviewed	Uncharacterized protein	
Q692V6	unreviewed	Colorless GFP-like protein	A1a
B7T142	unreviewed	Alpha-carbonic anhydrase domain-containing protein	
A0T397	unreviewed	Complement C3	C3
G8HTB8	unreviewed	Uncharacterized protein (Fragment)	
G8HT98	unreviewed	Uncharacterized protein	
B7T148	unreviewed	SEA domain-containing protein	
Q95WG3	unreviewed	Nuclear receptor AmNR2	
I3QDC0	unreviewed	Selenoprotein H	SelH
A0A2D0W5A4	unreviewed	Cytochrome b (Fragment)	cytb
Q95WF9	unreviewed	Nuclear receptor AmNR5 (Fragment)	
A9YYK3	unreviewed	Actin (Fragment)	
B3V952	unreviewed	Mannose-binding lectin (Fragment)	
I3QDC2	unreviewed	Selenoprotein R (Fragment)	SelR
U5QP25	unreviewed	Cytochrome b	cob
L0ASC9	unreviewed	Acropsin 3	
A0A089NCU6	unreviewed	PaxC (Fragment)	PaxC
G8HTA6	unreviewed	ER membrane protein complex subunit 4	
A0A7D5D3Y5	unreviewed	Acropsin 3	OP3
O61610	unreviewed	PaxC transcription factor	PaxC
B3V956	unreviewed	Mannose-binding lectin (Fragment)	
A0A4D6YRT7	unreviewed	Hypoxia-inducible factor alpha	
M4R4D0	unreviewed	Chromoprotein 580	
Q95WG2	unreviewed	Nuclear receptor AmNR3 (Fragment)	
B3V946	unreviewed	Mannose-binding lectin	
I3QDC3	unreviewed	Selenoprotein S	SelS
G8HTB5	unreviewed	Uncharacterized protein	
L0AUA8	unreviewed	Acropsin 2	
B4YFB4	unreviewed	Cytochrome P450 74A (EC 4.2.1.92)	CYP74A
B5MFT8	unreviewed	Cytochrome b (Fragment)	Cytb
L0ATA4	unreviewed	Acropsin 1	
Q9XLE7	unreviewed	Cytochrome b (Fragment)	cytb
A0MV33	unreviewed	Ventral nervous system defective 1	vnd1
B7T138	unreviewed	SUEL-type lectin domain-containing protein	
Q95WG1	unreviewed	Nuclear receptor AmNR4 isoform A	
C9QNV4	unreviewed	TEPP protein	TEPP
B5T1L5	unreviewed	Red fluorescent protein FP597	
G8HT93	unreviewed	Uncharacterized protein	
U5QPP5	unreviewed	Cytochrome c oxidase subunit 2	cox2
B6DC40	unreviewed	PaxC (Fragment)	PaxC
U5QPF5	unreviewed	Cytochrome c oxidase subunit 3	cox3
H9TS90	unreviewed	Plasma membrane calcium ATPase (Fragment)	PMCA
A0A2D0W566	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
B6DC36	unreviewed	PaxC (Fragment)	PaxC
Q9TDW3	unreviewed	Cytochrome b (Fragment)	cytb
A0A2D0W575	unreviewed	Cytochrome b (Fragment)	cytb
U5QT12	unreviewed	ATP synthase subunit a	atp6
U5QT69	unreviewed	NADH dehydrogenase subunit 4L (NADH-ubiquinone oxidoreductase chain 4L)	nad4L
A0A3G1PSC6	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
A0A089N9E7	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COX1
B6DC39	unreviewed	PaxC (Fragment)	PaxC
Q16990	unreviewed	Mini-collagen	
U5QT15	unreviewed	NADH-ubiquinone oxidoreductase chain 3 (EC 7.1.1.2)	nad3
U5QT07	unreviewed	NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2)	nad5
A0A2D0W534	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
A0A2D0W586	unreviewed	Cytochrome b (Fragment)	cytb
U5QP69	unreviewed	ATP synthase F0 subunit 8	atp8
A0A2D0W523	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
U5QST8	unreviewed	NADH dehydrogenase subunit 4L (NADH-ubiquinone oxidoreductase chain 4L)	nad4L
U5QSY4	unreviewed	NADH:ubiquinone reductase (H(+)-translocating) (EC 7.1.1.2)	nad2
U5QPJ4	unreviewed	ATP synthase F0 subunit 8	atp8
Q9TDW1	unreviewed	Cytochrome b (Fragment)	cytb
U5QPI6	unreviewed	NADH-ubiquinone oxidoreductase chain 1 (EC 7.1.1.2)	nad1
U5QPA6	unreviewed	NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2)	nad5
A0A2D0W520	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
A0A2D0W587	unreviewed	Cytochrome b (Fragment)	cytb
A0A5C1X6I0	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
U5QPB0	unreviewed	ATP synthase subunit a	atp6
Q9TDU8	unreviewed	ATP synthase subunit a (Fragment)	ATP6
U5QT60	unreviewed	NADH-ubiquinone oxidoreductase chain 6 (EC 7.1.1.2)	nad6
B6DC41	unreviewed	PaxC (Fragment)	PaxC
Q2HQP6	unreviewed	Photosystem II protein D1 (Fragment)	psbA
Q2HQQ3	unreviewed	Photosystem II protein D1 (Fragment)	psbA
B8VIX3	reviewed	Uncharacterized skeletal organic matrix protein 6 (Uncharacterized SOMP-6)	
B3EWZ2	reviewed	Uncharacterized skeletal organic matrix protein 8 (Uncharacterized SOMP-8)	
B8WI85	reviewed	Uncharacterized skeletal organic matrix protein 7 (Uncharacterized SOMP-7)	
B3EWZ0	reviewed	Secreted acidic protein 1A	
B8UU74	reviewed	Uncharacterized skeletal organic matrix protein 4 (Uncharacterized SOMP-4) (Fragment)	
B7WFQ1	reviewed	Uncharacterized skeletal organic matrix protein 2 (Uncharacterized SOMP-2)	
B3EX00	reviewed	Uncharacterized skeletal organic matrix protein 1 (Uncharacterized SOMP-1) (Fragment)	
G8HTB6	reviewed	ZP domain-containing protein	
B3EWZ7	reviewed	Threonine-rich protein (Fragment)	
B3EWZ1	reviewed	Secreted acidic protein 1B (Fragment)	
B8RJM0	reviewed	Uncharacterized skeletal organic matrix protein 3 (Uncharacterized SOMP-3) (Fragment)	
B8VIU6	reviewed	Uncharacterized skeletal organic matrix protein 5 (Uncharacterized SOMP-5)	
C0H690	reviewed	Small cysteine-rich protein 1 (Amil-SCRiP1) (SCRiP1)	
B3EWY6	reviewed	Skeletal aspartic acid-rich protein 1	
D9IQ16	reviewed	Galaxin	
B3EX02	reviewed	MAM and fibronectin type III domain-containing protein 1 (Fragment)	
B3EWY9	reviewed	Mucin-like protein (Fragment)	
B3EWY8	reviewed	Skeletal aspartic acid-rich protein 2 (Fragment)	
B8V7Q1	reviewed	Protocadherin-like protein	
C0H692	reviewed	Small cysteine-rich protein 3 (Amil-SCRiP3) (SCRiP3)	
H2FGB4	unreviewed	Uncharacterized protein (Fragment)	
A0A290QNC9	unreviewed	NADH-ubiquinone oxidoreductase chain 6 (EC 7.1.1.2)	nad6
A0A2D0W593	unreviewed	Cytochrome b (Fragment)	cytb
A0A290QLJ0	unreviewed	Cytochrome b	cytb
U5QT32	unreviewed	NADH-ubiquinone oxidoreductase chain 6 (EC 7.1.1.2)	nad6
A0A0A8K7Q1	unreviewed	Growth/differentiation factor 5-like protein	AdiGdf5-like
Q9GV00	unreviewed	PL10-related protein CnPL10 (Fragment)	CnPL10
I1DSK8	unreviewed	Fluorescent protein 9 (Fragment)	AdiFP9
A0A348AT00	unreviewed	Fluorescent protein (Fragment)	CP
A0A0A8K9Z1	unreviewed	Forkhead box J1 protein	AdiFoxJ1
A0A0A8K836	unreviewed	Aristaless-like homeobox protein	AdiAlx
A0A0A8K9Y4	unreviewed	Diencephalon/mesencephalon homeobox D protein	AdiDmbxD
A0A1V0CMH1	unreviewed	Cysteine-rich protein	
A0A348ASX8	unreviewed	Fluorescent protein (Fragment)	CP
A0A348AT96	unreviewed	Fluorescent protein (Fragment)	S MWE
A0A348AT85	unreviewed	Fluorescent protein (Fragment)	S MWE
A0A0A8K8S2	unreviewed	Aristaless-related homeobox protein	AdiArx
A0A0A8K8T2	unreviewed	Forkhead box B protein	AdiFoxB
A0A5P8FSD8	unreviewed	Guanylate cyclase (EC 4.6.1.2)	
A0A348ATB9	unreviewed	Fluorescent protein (Fragment)	S MWE
A0A1S7IWU9	unreviewed	Fluorescent protein	CP
A0A0A8K829	unreviewed	Transforming growth factor 4 protein	AdiTgf4
A0A348ATA3	unreviewed	Fluorescent protein (Fragment)	S MWE
A0A1S7IWG9	unreviewed	Fluorescent protein	M LWE
A0A348ASY7	unreviewed	Fluorescent protein (Fragment)	CP
I1DSK4	unreviewed	Fluorescent protein 4	AdiFP4
A0A348ASZ4	unreviewed	Fluorescent protein (Fragment)	CP
U5QPV1	unreviewed	NADH:ubiquinone reductase (H(+)-translocating) (EC 7.1.1.2)	nad2
U5QT90	unreviewed	Cytochrome c oxidase subunit 2	cox2
A0A1V0CMH9	unreviewed	Skeletal aspartic acid-rich protein 2	
A0A348AT72	unreviewed	Fluorescent protein (Fragment)	S MWE
A0A0A8K7N6	unreviewed	Diencephalon/mesencephalon homeobox B protein	AdiDmbxB
A0A1V0CMI2	unreviewed	Skeletal acidic protein 2 (Fragment)	
A0A348AT78	unreviewed	Fluorescent protein (Fragment)	S MWE
